//Divine_Horse_Unique
6939	32394	42	0	0.4	0.3	0.25	0.0	1.0	0.0
6939	32394	94	0	0.4	0.3	0.25	0.0	1.0	0.0
6939	32394	33	0	0.4	0.3	0.25	0.0	1.0	0.0
6939	32394	83	0	0.4	0.3	0.25	0.0	1.0	0.0
6939	32048	32	0	0.06	0.44	0.66	14.0	0.5	0.0
6939	32048	41	0	0.06	0.44	0.66	14.0	0.5	0.0
6939	32048	84	0	0.06	0.44	0.66	14.0	0.5	0.0
6939	32048	95	0	0.06	0.44	0.66	14.0	0.5	0.0

//Divine_Horse_Blue
6941				32394			42				0					0.1			0.33			1.0			0.0				1.0				0.0
6941				32394			94				0					0.1			0.33			1.0			0.0				1.0				0.0
6941				32394			33				0					0.1			0.33			1.0			0.0				1.0				0.0
6941				32394			83				0					0.1			0.33			1.0			0.0				1.0				0.0
6941				32048			32				0					0.4			0.7			1.0			14.0				0.5				0.0
6941				32048			41				0					0.4			0.7			1.0			14.0				0.5				0.0
6941				32048			84				0					0.4			0.7			1.0			14.0				0.5				0.0
6941				32048			95				0					0.4			0.7			1.0			14.0				0.5				0.0

//Divine_Horse_Red
6938				32394			42				0					1.0			0.1			0.1			0.0				1.0				0.0
6938				32394			94				0					1.0			0.1			0.1			0.0				1.0				0.0
6938				32394			33				0					1.0			0.1			0.1			0.0				1.0				0.0
6938				32394			83				0					1.0			0.1			0.1			0.0				1.0				0.0
6938				32048			32				0					1.0			0.25			0.1			14.0				0.5				0.0
6938				32048			41				0					1.0			0.25			0.1			14.0				0.5				0.0
6938				32048			84				0					1.0			0.25			0.1			14.0				0.5				0.0
6938				32048			95				0					1.0			0.25			0.1			14.0				0.5				0.0

//Divine_Horse_Violet
6940				32394			42				0					0.5			0.0			1.0			0.0				1.0				0.0
6940				32394			94				0					0.5			0.0			1.0			0.0				1.0				0.0
6940				32394			33				0					0.5			0.0			1.0			0.0				1.0				0.0
6940				32394			83				0					0.5			0.0			1.0			0.0				1.0				0.0
6940				32048			32				0					0.3			0.0			0.6			14.0				0.5				0.0
6940				32048			41				0					0.3			0.0			0.6			14.0				0.5				0.0
6940				32048			84				0					0.3			0.0			0.6			14.0				0.5				0.0
6940				32048			95				0					0.3			0.0			0.6			14.0				0.5				0.0

end
